MicroServie,Description,Category,Default DockImage,Popularity (Pull),Base of DockerImage,Type of Docker Content OS,LGPL 2.1.,Priority,Upstream Project,Clear Bundle,Clear Package,Use Case,Owner,Default Docker Size,Clear Docker Size,Bundle Size,Potential Clear Advantage,AUFS Relation,Created At,Filter Type,Logo Url,Operating Systems,Star Count,type,Updated_At, Tag,Is In MicroService.xlsx
composer,Composer is a dependency manager written in and for PHP.,Application Frameworks,https://hub.docker.com/_/composer,10M+,php:7-alpine3.8,php,MIT License,,,,,,,157MB,,,,,2017-04-16T18:19:16.506722Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/composer.png,linux,382,image,2019-04-01T08:06:12.123594Z,1.8.4,FALSE
mono,Mono is an open source implementation of Microsoft's .NET Framework,Application Frameworks,https://hub.docker.com/_/mono,10M+,mono:5.18.1.0-slim,mono,ÿGNU General Public License v2ÿ(GPL).,,,,,,,683MB,,,,,2016-06-17T17:59:45.886059Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/51cc4ee1-0aee-43bc-a238-ffa4273f5ae7-mono.png,linux,338,image,2019-04-01T08:06:06.627688Z,5.18.1.0,FALSE
elixir,"Elixir is a dynamic, functional language for building scalable and maintainable applications.",Programming Languages,https://hub.docker.com/_/elixir,10M+,erlang:21,erlang,ÿApache License 2.0,,,,,,,1.08GB,,,,,2016-06-01T23:23:41.401663Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/cb773227-1c2c-42a4-a527-12e6f827c1d2-elixir.png,linux,328,image,2019-04-01T08:06:08.6434Z,1.8.1,FALSE
kong,The Cloud-Native API Gateway & Service Mesh for APIs and Microservices,Application Frameworks,https://hub.docker.com/_/kong,10M+,alpine:3.6,alpine,Apache License 2.0,,,,,,,98.4MB,,,,,2017-04-16T17:28:09.523375Z,official,https://user-images.githubusercontent.com/13873429/50716263-b7888780-1035-11e9-900b-7e73dbce53c7.png,linux,314,image,2019-04-01T08:05:44.818848Z,1.1.1-alpine,FALSE
jetty,Jetty provides a Web server and javax.servlet container.,Application Infrastructure,https://hub.docker.com/_/jetty,10M+,openjdk:11-jre,openjdk,ApacheÿLicenseÿ2.0 and Eclipse PublicÿLicenseÿ1.0,,,,"jdk-jetty92
,
jdk-jetty
,
jdk-mortbay-jetty
,
jdk-eclipse-jetty-parent",,,454MB,,,,,2016-06-01T23:28:35.731183Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/54a932ad-6239-475a-a967-1a817a7318b6-jetty.png,linux,294,image,2019-04-01T08:06:05.253726Z,9.4.14-jre11,FALSE
swift,"Swift is a high-performance system programming language, to learn more about Swift visit swift.org.",Base Images,https://hub.docker.com/_/swift,10M+,ubuntu:18.04,ubuntu,ÿApache License 2.0,,,,"swift
,
python-swiftclient",,,1.81GB,,,,,2017-04-17T16:32:56.982799Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/swift.png,linux,281,image,2019-04-01T08:06:11.893834Z,5.0,FALSE
eclipse-mosquitto,Eclipse Mosquitto is an open source message broker which implements MQTT version 3.1 and 3.1.1,Application Services,https://hub.docker.com/_/eclipse-mosquitto,10M+,alpine:3.8,alpine,Eclipse Public License - v 1.0,,,,,,,4.78MB,,,,,2017-04-17T14:41:12.833427Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/eclipse-mosquitto.png,linux,272,image,2019-04-01T08:05:47.992412Z,1.5.8,FALSE
perl,"Perl is a high-level, general-purpose, interpreted, dynamic programming language.",Programming Languages,https://hub.docker.com/_/perl,10M+,buildpack-deps:stretch,buildpack-deps,GNU General Public License,,,,"perl
,
perl-Perl6-Export
,
perl-PerlIO-eol
,
perl-PerlIO-gzip
,
perl-PerlIO-via-Timeout
,
perl-Perl4-CoreLibs
,
perl-PerlIO-utf8_strict
,
perl-Perl-Version
,
perl-libwww-perl
,
perl-Modern-Perl
,
perl-Perl-Tidy
,
perl-Devel-PatchPerl
,
perl-CPAN-Perl-Releases
,
perl-Term-Size-Perl
,
perl-Log-Log4perl
,
perl-aliased
,
perl-autovivification
,
perl-boolean
,
perl-Event
,
perl-autobox
,
perl-Dumbbench
,
perl-JSON
,
perl-Moo
,
perl-Specio
,
perl-DBI
,
perl-curry
,
perl-prefork
,
perl-Pegex
,
perl-URI
,
perl-CGI",,,891MB,,,,,2016-06-01T23:31:12.170007Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a340274a-760a-4dd3-b7a6-1a8299d9388c-perl.png,linux,259,image,2019-04-01T08:05:52.402177Z,latest,FALSE
telegraf,Telegraf is an agent for collecting metrics and writing them to InfluxDB or other outputs.,DevOps Tools,https://hub.docker.com/_/telegraf,10M+,buildpack-deps:stretch-curl,buildpack-deps,MIT License,,,,,,,244MB,,,,,2016-06-09T23:08:47.044634Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/a466675f-20cc-458c-9383-94f284ef3d9d-telegraf.png,linux,251,image,2019-04-01T08:05:42.26499Z,1.8,FALSE
erlang,Erlang is a programming language used to build massively scalable systems with high availability.,Programming Languages,https://hub.docker.com/_/erlang,10M+,buildpack-deps:stretch,buildpack-deps,ÿApache License 2.0,,,,,,,1.07GB,,,,,2016-06-01T23:32:04.578912Z,official,https://d1q6f0aelx0por.cloudfront.net/product-logos/9be08467-a890-460f-8a96-4b098a368fb7-erlang.png,linux,233,image,2019-04-01T08:06:03.675737Z,21.3.2,FALSE
